date,asset,amount,revenue_pln,cost_basis_pln,gain_loss_pln,price_method,source,counterparty_asset,counterparty_amount,lots_consumed,year
2020-12-31,USDC,1E+3,3457.76,3569.21,-111.45,approx_EUR,kraken,EUR,804.13,1,2020
2021-01-04,USDC,9125.1311,30898.47,32569.52,-1671.06,approx_EUR,kraken,EUR,7185.69,1,2021
2021-02-04,USDC,5001,17675.88,17849.63,-173.75,approx_EUR,kraken,EUR,4110.67,1,2021
2021-02-16,DOT,4E+1,4280.61,733.15,3547.46,approx_EUR,kraken,EUR,995.49,1,2021
2021-02-16,USDC,3E+3,10514.40,10707.64,-193.23,approx_EUR,kraken,EUR,2445.21,1,2021
2021-05-07,USDC,3.5E+3,13823.62,12488.68,1334.94,approx_USD,kraken,USD,3499.65,2,2021
2021-05-09,USDC,5E+3,19748.03,3264.02,16484.01,approx_USD,kraken,USD,4999.5,5,2021
2021-05-22,USDC,1.5E+3,5925.00,0.00,5925.00,approx_USD,kraken,USD,1.5E+3,1,2021
2021-06-11,USDC,1E+3,3554.38,0.00,3554.38,approx_EUR,kraken,EUR,826.6,1,2021
2021-07-28,USDC,1005,3647.56,0.00,3647.56,approx_EUR,kraken,EUR,848.27,1,2021
2021-08-11,USDC,1574,5762.43,0.00,5762.43,approx_EUR,kraken,EUR,1340.1,1,2021
2021-08-20,LINK,199.23997,21644.77,8968.38,12676.39,approx_USD,kraken,USD,5479.689,5,2021
2021-08-20,USDC,3E+3,11848.93,0.00,11848.93,approx_USD,kraken,USD,2999.73,3,2021
2021-08-22,KAR,619.66929,19797.96,21348.05,-1550.09,approx_USD,kraken,USD,5012.1418,1,2021
2021-10-08,USDC,6415.7332,23866.38,0.00,23866.38,approx_EUR,kraken,EUR,5550.32,5,2021
2021-10-31,LUNA,15.18,2434.72,0.00,2434.72,approx_EUR,binance,EUR,566.214,1,2021
2021-10-31,LUNA,20.49,3295.20,0.00,3295.20,approx_EUR,binance,EUR,766.326,2,2021
2021-10-31,LUNA,17.42,2808.98,0.00,2808.98,approx_EUR,binance,EUR,653.25,1,2021
2021-11-01,LUNA,52.43,15918.60,0.00,15918.60,approx_EUR,binance,EUR,3702,1,2021
2021-11-01,LUNA,46.29,15918.60,0.00,15918.60,approx_EUR,binance,EUR,3702,1,2021
2021-12-22,USDT,1019.9555,3882.30,0.00,3882.30,approx_EUR,kraken,EUR,902.86,2,2021
2022-03-07,USDT,1541.5569,6126.90,0.00,6126.90,approx_EUR,kraken,EUR,1424.86,1,2022
2022-03-22,USDT,1971.2054,7689.60,0.00,7689.60,approx_EUR,kraken,EUR,1788.28,2,2022
2022-03-23,USDT,2011.0227,7847.50,0.00,7847.50,approx_EUR,kraken,EUR,1825,1,2022
2022-04-04,USDT,4006.0499,15658.41,0.00,15658.41,approx_EUR,kraken,EUR,3641.49,1,2022
2022-05-03,USDT,995.1798,4070.85,0.00,4070.85,approx_EUR,kraken,EUR,946.71,1,2022
2022-05-17,USDT,4049.9216,16519.53,0.00,16519.53,approx_EUR,kraken,EUR,3841.75,2,2022
2022-05-28,LUNA2,69,1667.47,0.00,1667.47,approx_EUR,kraken,EUR,387.7842,1,2022
2022-06-09,ATOM,353,12888.99,305791.78,-292902.79,approx_EUR,kraken,EUR,2997.44,17,2022
2022-07-01,USDC,4354.4503,17941.45,0.00,17941.45,approx_EUR,kraken,EUR,4172.43,2,2022
2022-07-17,USDC,6771.3745,28889.81,4188.18,24701.63,approx_EUR,kraken,EUR,6718.56,6,2022
2022-08-09,ETH,3.00001,21433.95,6391.48,15042.47,approx_EUR,kraken,EUR,4984.64,1,2022
2022-08-20,FTM,13051,17046.92,9523.74,7523.18,approx_EUR,kraken,EUR,3964.4,8,2022
2022-09-04,FTM,22342.36223,25778.59,0.00,25778.59,approx_EUR,kraken,EUR,5995.02,7,2022
2022-09-17,FTM,23824.59415,25767.28,0.00,25767.28,approx_EUR,kraken,EUR,5992.39,9,2022
2022-09-26,FTM,17674,17713.98,394781.17,-377067.19,approx_EUR,kraken,EUR,4119.53,16,2022
2022-10-09,FTM,27087,26419.24,799223.46,-772804.22,approx_EUR,kraken,EUR,6144.01,17,2022
2022-11-20,MATIC,7.31E+3,24410.33,0.00,24410.33,approx_EUR,kraken,EUR,5676.82,2,2022
2022-12-10,MATIC,6571,24446.62,0.00,24446.62,approx_EUR,kraken,EUR,5685.26,2,2022
2022-12-10,MATIC,1.6E+2,594.35,0.00,594.35,approx_EUR,kraken,EUR,138.22,1,2022
2022-12-22,MATIC,7.6E+3,24279.09,0.00,24279.09,approx_EUR,kraken,EUR,5646.3,1,2022
2022-12-30,MATIC,184,560.72,0.00,560.72,approx_EUR,kraken,EUR,130.4,1,2022
2023-01-12,MATIC,4291.45,15174.10,0.00,15174.10,approx_EUR,kraken,EUR,3528.86,1,2023
2023-01-26,MATIC,5673,24058.59,0.00,24058.59,approx_EUR,kraken,EUR,5595.02,1,2023
2023-02-26,MATIC,6299,32665.85,0.00,32665.85,approx_EUR,kraken,EUR,7596.71,1,2023
2023-03-14,MATIC,13548,62651.90,0.00,62651.90,approx_EUR,kraken,EUR,14570.21,1,2023
2023-04-26,USDC,2705.7794,10557.45,3737.14,6820.30,approx_EUR,kraken,EUR,2455.22,5,2023
2023-05-22,USDC,4E+3,15887.60,0.00,15887.60,approx_EUR,kraken,EUR,3694.79,3,2023
2023-06-05,USDC,3312.555,13318.13,0.00,13318.13,approx_EUR,kraken,EUR,3097.24,2,2023
2023-06-21,USDC,3E+3,11794.47,0.00,11794.47,approx_EUR,kraken,EUR,2742.9,1,2023
2023-07-03,USDC,3E+3,11813.82,0.00,11813.82,approx_EUR,kraken,EUR,2747.4,3,2023
2023-07-19,USDC,3E+3,11484.87,0.00,11484.87,approx_EUR,kraken,EUR,2670.9,2,2023
2023-07-19,USDC,3E+3,11847.63,0.00,11847.63,approx_USD,kraken,USD,2999.4,1,2023
2023-07-19,FTM,25714.17185,26248.22,266335.09,-240086.87,approx_USD,kraken,USD,6645.1192,7,2023
2023-08-01,USDC,3E+3,11717.07,0.00,11717.07,approx_EUR,kraken,EUR,2724.9,3,2023
2023-08-15,USDC,3E+3,11789.31,0.00,11789.31,approx_EUR,kraken,EUR,2741.7,3,2023
2023-08-23,USDC,1001.0903,3966.75,0.00,3966.75,approx_EUR,kraken,EUR,922.5,1,2023
2023-09-02,USDC,3000.0031,11968.32,0.00,11968.32,approx_EUR,kraken,EUR,2783.33,3,2023
2023-09-10,USDC,4498.8241,18087.52,0.00,18087.52,approx_EUR,kraken,EUR,4206.4,3,2023
2023-09-18,USDC,6000.0003,24161.70,0.00,24161.70,approx_EUR,kraken,EUR,5619,3,2023
2023-10-17,USDC,3E+3,12236.94,0.00,12236.94,approx_EUR,kraken,EUR,2845.8,1,2023
2023-11-05,USDC,6E+3,24055.49,0.00,24055.49,approx_EUR,kraken,EUR,5594.3,3,2023
2023-11-27,USDC,6E+3,23565.89,0.00,23565.89,approx_EUR,kraken,EUR,5480.44,5,2023
2024-01-02,USDC,1E+3,3925.47,0.00,3925.47,approx_EUR,kraken,EUR,912.9,1,2024
2024-01-03,USDC,2E+3,7883.62,0.00,7883.62,approx_EUR,kraken,EUR,1833.4,1,2024
2024-01-15,USDC,7E+3,27482.63,0.00,27482.63,approx_EUR,kraken,EUR,6391.31,3,2024
2024-01-29,USDC,6000.0015,23810.82,0.00,23810.82,approx_EUR,kraken,EUR,5537.4,2,2024
2024-02-26,USDC,45433.8375,179990.22,0.00,179990.22,approx_EUR,kraken,EUR,41858.19,8,2024
2024-03-06,USDC,6000.0011,23648.58,0.00,23648.58,approx_EUR,kraken,EUR,5499.67,1,2024
2024-03-26,USDC,38646.2716,153300.29,0.00,153300.29,approx_EUR,kraken,EUR,35651.23,6,2024
2024-04-02,USDC,6000.0006,24001.74,0.00,24001.74,approx_EUR,kraken,EUR,5581.8,1,2024
2024-04-17,USDC,6000.0006,24195.24,0.00,24195.24,approx_EUR,kraken,EUR,5626.8,1,2024
2024-05-02,USDC,6000.0006,24107.52,0.00,24107.52,approx_EUR,kraken,EUR,5606.4,1,2024
2024-06-04,USDC,5051.9684,19963.87,0.00,19963.87,approx_EUR,kraken,EUR,4642.76,1,2024
2024-06-18,USDC,26580.4163,106443.66,0.00,106443.66,approx_EUR,kraken,EUR,24754.34,8,2024
2024-07-09,USDC,3998.0555,15813.64,0.00,15813.64,approx_EUR,kraken,EUR,3677.59,1,2024
2024-07-23,USDC,3E+3,11828.83,0.00,11828.83,approx_EUR,kraken,EUR,2750.89,1,2024
2024-08-02,USDC,3E+3,11875.01,0.00,11875.01,approx_EUR,kraken,EUR,2761.63,1,2024
2024-08-16,USDC,1499.9963,5842.50,0.00,5842.50,approx_EUR,kraken,EUR,1358.72,1,2024
2024-10-22,ETH,0.58011697,6036.64,1235.93,4800.71,approx_EUR,kraken,EUR,1403.87,1,2024
2024-10-23,USDC,1090.1285,4325.80,0.00,4325.80,approx_EUR,kraken,EUR,1006,1,2024
2024-11-27,USDT,1012.0672,4122.54,0.00,4122.54,approx_EUR,kraken,EUR,958.7313,1,2024
2025-01-16,USDC,4000.000001,16699.48,0.00,16699.48,approx_EUR,kraken,EUR,3883.6,1,2025
2025-08-07,DOT,2.10093092,29.16,0.00,29.16,approx_EUR,kraken,EUR,6.7805,1,2025
